Title	Duration	Link	Transcript	Status
Hawking film premiere: 'At times I thought he was me'	2.30 	http://www.bbc.com/news/entertainment-arts-30402279	NO 	UNPROCESSED
The 'disaster' hitting olives and their oil 	1.53 	http://www.bbc.com/news/world-europe-30366406	NO 	UNPROCESSED
Ukraine: Moscow threatens to ban EU flights over Russia 	1.50 	http://www.bbc.com/news/world-europe-29106766	NO 	UNPROCESSED
International condemnation over CIA interrogation report 	2.30 	http://www.bbc.com/news/world-us-canada-30425572	NO 	UNPROCESSED
Hong Kong protesters clash with police at government HQ 	1.35 	http://www.bbc.com/news/world-asia-30272450	NO
Tributes to German student killed for helping harassed women 	1.46 	http://www.bbc.com/news/world-europe-30266806	NO 	UNPROCESSED
Pistorius case: Judge rules prosecutors can appeal 	1.49 	http://www.bbc.com/news/world-africa-30411477	NO 	UNPROCESSED
Tracing the Ebola outbreak 	1.21 	http://www.bbc.com/news/world-africa-30217584	NO 	UNPROCESSED
Jihadist violence: Yazidi survivors taking refuge in Dohuk 	2.21 	http://www.bbc.com/news/world-middle-east-30426469	NO 	UNPROCESSED
Astronaut Tim Peake invites Raspberry Pi challenge 	1.03	http://www.bbc.com/news/technology-30415207	NO 	UNPROCESSED
Band Aid releases single to fight Ebola crisis 	2.35 	http://www.bbc.com/news/entertainment-arts-29986916	NO 	UNPROCESSED
Sydney siege: 'Hostages made to hold black flagâ€™	1.20 	http://www.bbc.com/news/world-asia-30474077	NO 	UNPROCESSED
UN climate talks: 'Sense of relief' after deal reached	1.36 	http://www.bbc.com/news/science-environment-30468299	NO 	UNPROCESSED 	
Scottish referendum: Scotland votes no to independence 	1.22 	http://www.bbc.com/news/uk-29271333	NO 	UNPROCESSED
Lost painting auctioned after discovery in Stuart Little film	1.30 	http://www.bbc.com/news/entertainment-arts-30467820	NO 	UNPROCESSED